StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q1,Q1_11_TEXT,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,Q2_18,Q2_19,Q2_20,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q16_1,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q8,Q11,Q11_11_TEXT,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_14,Q14_15,Q14_16,Q14_17,Q14_18,Q14_19,Q14_20,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q18,Q19,Q21,Q22,Q24,Q25,Q27,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,Which specific marketing role are you most familiar with? - Selected Choice,Which specific marketing role are you most familiar with? - Other Role - Text,"To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - R-Programming","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - SAS Programming","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Python","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - HTML/CSS","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - MS Excel","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - VBA","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - SQL","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Marketing budgeting","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Forecasting","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - A/B Testing","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Pricing Models","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Sales Modeling","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Bayesian Inference","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Regression","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Forecasting","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Psychology","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Social Sciences","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Consumer Decision Theory (Psych)","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Adobe Creative Cloud","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Copywriting","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Content creation","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Videography","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Logo/branding design","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Survey creation","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Focus groups","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Experiment design","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Qualitative data analysis","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Secondary research","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Negotiations","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Communication skills","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Lead qualification","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Prospecting","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Cold calling","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Account management","To succeed in a Career in [QID1-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Media buying","In your mind, how similar are Marketing and Advertising? - Completely Different:The same",How well the following words describe your perception of a Marketing career? - Data-driven,How well the following words describe your perception of a Marketing career? - Sales focused,How well the following words describe your perception of a Marketing career? - Lucrative,How well the following words describe your perception of a Marketing career? - Creative,How well the following words describe your perception of a Marketing career? - Stable (job security),How well the following words describe your perception of a Marketing career? - Fun,How well the following words describe your perception of a Marketing career? - Prestigious,How well the following words describe your perception of a Marketing career? - Important,How well the following words describe your perception of a Marketing career? - Worthwhile,How well the following words describe your perception of a Marketing career? - Essential to a business,How well the following words describe your perception of a Marketing career? - Fast paced,How well the following words describe your perception of a Marketing career? - Boring,How well the following words describe your perception of a Marketing career? - Grunt work,How well the following words describe your perception of a Marketing career? - Unimportant,How well the following words describe your perception of a Marketing career? - Undervalued,How well the following words describe your perception of a Marketing career? - Overvalued,How well the following words describe your perception of a Marketing career? - Underpaid,How well the following words describe your perception of a Marketing career? - Overpaid,"We appreciate your time in taking our survey. If you are available for one more minute, would you be able to answer a few more questions?",Which other specific marketing role are you most familiar with? - Selected Choice,Which other specific marketing role are you most familiar with? - Other Role - Text,"To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - R-Programming","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - SAS Programming","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Python","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - HTML/CSS","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - MS Excel","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - VBA","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - SQL","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Marketing budgeting","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Forecasting","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - A/B Testing","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Pricing Models","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Sales Modeling","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Bayesian Inference","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Regression","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Forecasting","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Psychology","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Social Sciences","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Consumer Decision Theory (Psych)","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Adobe Creative Cloud","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Copywriting","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Content creation","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Videography","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Logo/branding design","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Survey creation","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Focus groups","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Experiment design","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Qualitative data analysis","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Secondary research","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Negotiations","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Communication skills","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Lead qualification","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Prospecting","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Cold calling","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Account management","To succeed in a Career in [QID11-ChoiceGroup-SelectedChoicesTextEntry], what do you think should be taught in undergraduate marketing curriculums? - Media buying",Please choose the option that best describes you.,Please choose the option that best describes you.,Please describe what industry you work in.,What is your current job level?,Please choose the option that best describes you.,Please select your gender.,What is your year of birth?,Have you ever attended BYU?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_11_TEXT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID2_11""}","{""ImportId"":""QID2_12""}","{""ImportId"":""QID2_13""}","{""ImportId"":""QID2_14""}","{""ImportId"":""QID2_15""}","{""ImportId"":""QID2_16""}","{""ImportId"":""QID2_17""}","{""ImportId"":""QID2_18""}","{""ImportId"":""QID2_19""}","{""ImportId"":""QID2_20""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID13_10""}","{""ImportId"":""QID13_11""}","{""ImportId"":""QID13_12""}","{""ImportId"":""QID13_13""}","{""ImportId"":""QID13_14""}","{""ImportId"":""QID13_15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID17_9""}","{""ImportId"":""QID17_10""}","{""ImportId"":""QID17_11""}","{""ImportId"":""QID17_12""}","{""ImportId"":""QID17_13""}","{""ImportId"":""QID17_14""}","{""ImportId"":""QID17_15""}","{""ImportId"":""QID17_16""}","{""ImportId"":""QID17_17""}","{""ImportId"":""QID17_18""}","{""ImportId"":""QID8""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_11_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID14_10""}","{""ImportId"":""QID14_11""}","{""ImportId"":""QID14_12""}","{""ImportId"":""QID14_13""}","{""ImportId"":""QID14_14""}","{""ImportId"":""QID14_15""}","{""ImportId"":""QID14_16""}","{""ImportId"":""QID14_17""}","{""ImportId"":""QID14_18""}","{""ImportId"":""QID14_19""}","{""ImportId"":""QID14_20""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID15_11""}","{""ImportId"":""QID15_12""}","{""ImportId"":""QID15_13""}","{""ImportId"":""QID15_14""}","{""ImportId"":""QID15_15""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID26""}"
2017-03-31 08:46:14,2017-03-31 08:52:39,1,,100,385,1,2017-03-31 08:52:40,R_3p8POB3uBw2YBVz,,,,,40.356292724609,-111.73249816895,preview,3,,5,4,4,6,6,5,5,6,6,7,6,5,4,4,6,6,5,5,6,6,6,5,7,7,6,6,7,5,6,6,5,5,4,6,6,5,5,4,5,5,5,5,4,5,5,5,5,1,2,1,4,2,4,2,1,7,,3,3,3,6,5,2,3,5,6,6,5,4,3,3,6,6,6,6,7,6,7,4,6,6,6,6,6,5,6,7,5,4,2,6,7,1,1,,,,1,,1
2017-03-31 09:16:12,2017-03-31 09:20:23,0,128.187.112.18,100,251,1,2017-03-31 09:20:24,R_1IFWALpkH1i9Gq4,,,,,40.356292724609,-111.73249816895,anonymous,5,,7,3,2,4,5,5,6,5,6,5,6,5,7,7,7,5,4,5,6,6,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31 22:52:38,2017-03-31 22:56:43,0,45.56.49.73,100,244,1,2017-03-31 22:56:44,R_115Uns0ru253qsD,,,,,40.339294433594,-111.57089996338,anonymous,4,,5,6,5,7,5,5,7,5,6,6,2,2,2,4,6,6,5,6,7,7,7,2,4,5,3,2,2,3,2,7,5,5,1,5,2,2,5,4,4,5,4,5,5,5,5,5,4,1,2,1,3,2,3,1,1,5,,7,7,7,7,7,6,7,7,7,5,7,5,5,7,7,5,3,5,1,2,2,1,2,7,2,7,7,7,2,2,2,3,1,1,1,1,1,,,,2,1995,1
2017-03-31 23:00:10,2017-03-31 23:04:57,0,66.219.249.234,100,287,1,2017-03-31 23:04:57,R_31Qu2DBObqVLiG9,,,,,40.22639465332,-111.69699859619,anonymous,6,,5,5,5,5,7,5,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6,4,7,5,7,7,7,7,7,7,6,6,6,6,6,5,4,3,4,5,3,5,5,4,4,4,4,2,2,2,4,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,1995,1
2017-03-31 23:04:06,2017-03-31 23:15:11,0,174.208.2.166,100,665,1,2017-03-31 23:15:12,R_1KlkrORij0kjVJC,,,,,40.760803222656,-111.89109802246,anonymous,9,,3,3,4,6,6,6,6,3,5,3,3,4,2,5,6,5,5,5,5,6,5,4,5,6,5,7,6,5,5,7,6,7,3,3,5,5,5,2,4,5,4,4,4,4,4,4,4,2,2,2,3,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,2,1989,2
2017-03-31 23:20:14,2017-03-31 23:26:49,0,50.160.91.201,100,395,1,2017-03-31 23:26:50,R_2UVnLRweMcyKpfh,,,,,40.314300537109,-111.71160125732,anonymous,4,,2,3,5,3,6,5,3,6,5,5,3,5,3,3,5,3,3,4,7,5,5,6,5,3,3,5,5,2,2,6,6,5,2,3,5,5,4,4,3,4,3,4,4,4,4,4,4,1,2,1,4,1,4,2,1,8,,2,5,2,5,7,3,2,6,4,3,5,5,1,5,5,3,5,5,6,5,5,6,5,5,2,5,6,3,2,7,5,5,1,6,1,2,,,3,,1,1989,3
2017-03-31 23:32:13,2017-03-31 23:38:33,0,72.196.19.203,100,379,1,2017-03-31 23:38:34,R_2qadRoBnqYYqBLH,,,,,41.240005493164,-95.964996337891,anonymous,1,,2,3,2,1,7,3,5,5,7,3,7,7,2,2,7,5,5,3,2,2,2,2,2,3,2,2,3,5,7,7,7,7,7,7,3,2,5,5,4,4,5,3,4,5,4,5,5,2,2,2,2,2,2,2,1,3,,2,3,3,5,4,2,3,6,3,7,5,5,3,3,3,7,7,7,7,7,7,6,6,3,7,6,2,7,2,4,2,2,2,5,6,2,,Transportation (B2B),1,,2,1993,2
2017-04-01 00:09:30,2017-04-01 00:14:09,0,50.160.58.212,100,279,1,2017-04-01 00:14:11,R_2ZKdL9zbh4HPrHG,,,,,40.339294433594,-111.57089996338,anonymous,3,,5,5,5,6,5,5,6,6,6,4,5,6,5,5,6,6,6,6,5,6,6,5,5,4,4,5,5,5,4,6,4,4,5,5,6,7,2,4,3,4,4,3,2,4,2,4,4,4,3,2,2,2,2,4,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,2,1994,1
